id_text,Designation,lemma
P342140,"AoF 05, 01",x[NA]NA x[NA]NA Nidintu-šarri[00]PN
P342141,"AoF 05, 02",x[NA]NA ana[to]PRP bītu[house]N x[NA]NA X[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN māru[son]N ša[of]DET X[00]PN x[NA]NA nadānu[give]V kaspu[silver]N ā[that]IP x[NA]NA x[NA]NA šū[he]IP x[NA]NA
P342142,"AoF 05, 03",x[NA]NA bītu[house]N šuāti[him]IP bašû[exist]V x[NA]NA unqu[ring]N Anu-ikṣur[00]PN unqu[ring]N Rabi-Anu[00]PN
P342143,"AoF 05, 04",amurru[west]N ṭāh[adjacent-to]PRP bītu[house]N qātu[hand]N ša[of]DET Mušallim-Anu[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN māru[son]N ša[of]DET Hunzu[1]LN pūtu[forehead]N šaplû[lower]AJ šadû[east]N ṭāh[adjacent-to]PRP bītu[house]N qātu[hand]N ša[of]DET Nikolaos[00]PN māru[son]N ša[of]DET Apollonides[00]PN napharu[total]N šiddu[side]N u[and]CNJ pūtu[forehead]N mišihtu[measurement]N bītu[house]N qātu[hand]N u[and]CNJ bītu[house]N ruggubu[with-roof-room]AJ šunūti[them]IP bītu[house]N qātu[hand]N u[and]CNJ bītu[house]N ruggubu[with-roof-room]AJ šunūti[them]IP wīṣu[few]AJ u[and]CNJ mādu[many]AJ mala[as-much-as]PRP bašû[exist]V gabbu[totality]N ana[to]PRP 1[]NU manû[mina]N u[and]CNJ 15[]NU šiqlu[unit]N x[NA]NA marāqu[rub]V adi[until]PRP 12-TA.AM₃[]NU ana[to]PRP X[00]PN nadānu[give]V pūtu[forehead]N ahāmiš[one-another]AV ana[to]PRP marāqu[rub]V ša[of]DET x[NA]NA šuāti[him]IP Marduk-x[00]PN ṣiātu[distant-time]N našû[lift]V x[NA]NA ša[of]DET Dumqi-Anu[00]PN x[NA]NA ša[that]REL ištu[from]PRP kiništu[priesthood]N ša[of]DET bītu[house]N ilu[god]N ša[of]DET Uruk[1]SN ana[to]PRP ūmu[day]N ṣiātu[distant-time]N šū[he]IP mukinnu[witness]N Anu-ah-X[00]PN māru[son]N ša[of]DET X[00]PN Anu-ah-iddin[00]PN u[and]CNJ Anu-X[00]PN māru[son]N ša[of]DET X[00]PN x[NA]NA Anu-ab-uṣur[00]PN māru[son]N ša[of]DET X[00]PN Ina-qibit-Anu[00]PN māru[son]N ša[of]DET X[00]PN x[NA]NA X-Anu[00]PN māru[son]N ša[of]DET X[00]PN unqu[ring]N Ina-qibit-Anu[00]PN unqu[ring]N Anu-zer-iddin[00]PN unqu[ring]N Anu-ahhe-X[00]PN unqu[ring]N Ina-qibit-Anu[00]PN
P342145,"AoF 05, 06",x[NA]NA x[NA]NA x[NA]NA x[NA]NA nadānu[give]V kaspu[silver]N ā[that]IP x[NA]NA šuāti[him]IP gamru[complete]AJ x[NA]NA unqu[ring]N
P342146,"AoF 05, 07",unqu[ring]N A-X[00]PN Na-X[00]PN
P342147,"AoF 05, 08",Rihat-Anu[00]PN x[NA]NA {m}{d}x[NA]NA Anu-X[00]PN šattu[year]N 100[]NU x[NA]NA x[NA]NA unqu[ring]N Kidin-Anu[00]PN
P342148,"AoF 05, 09",x[NA]NA Anu-balassu-iqbi[00]PN x[NA]NA x-bi[NA]NA mišihtu[measurement]N šaluštu[group-of-three]N ša[of]DET bītu[house]N x[NA]NA x[NA]NA mala[as-much-as]PRP waṣû[going-out]AJ x[NA]NA x[NA]NA šuāti[him]IP bītu[house]N šū[he]IP x[NA]NA
P342149,"AoF 05, 10",x[NA]NA x[NA]NA x[NA]NA x[NA]NA X-su[00]PN māru[son]N ša[of]DET Ša-Anu-iššu[00]PN x[NA]NA x[NA]NA Anu-qišanni[00]PN māru[son]N ša[of]DET Laqip[00]PN māru[son]N X[1]LN x[NA]NA Sumuttu-Anu[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN māru[son]N ša[of]DET X[00]PN x[NA]NA x[NA]NA Tattannu[00]PN māru[son]N ša[of]DET Uṣuršu-Anu[00]PN sepīru[interpreter-scribe]N x[NA]NA X[00]PN ṭupšarru[scribe]N māru[son]N ša[of]DET Šamaš-eṭir[00]PN māru[son]N Ekur-zakir[1]LN Uruk[1]SN x[NA]NA x-KAM₂[NA]NA Alexander[1]RN šarru[king]N unqu[ring]N X[00]PN unqu[ring]N X[00]PN
P342150,"AoF 05, 11",x-MEŠ[NA]NA x[NA]NA x[NA]NA mahru[that-can-be-faced]AJ eṭru[paid-(off)]AJ ūmu[day]N x[NA]NA kišubbû[waste-field]N šuāti[him]IP bašû[exist]V unqu[ring]N X[00]PN
