matcher,pattern,id_text,Designation,lemma
Two Tier,PN N DET PN,P342141,"AoF 05, 02",X[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN
Two Tier,PN N DET PN,P342143,"AoF 05, 04",Mušallim-Anu[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN
Two Tier,PN N DET PN,P342143,"AoF 05, 04",Nikolaos[00]PN māru[son]N ša[of]DET Apollonides[00]PN
Two Tier,PN N DET PN,P342143,"AoF 05, 04",Anu-ah-X[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342143,"AoF 05, 04",Anu-X[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342143,"AoF 05, 04",Anu-ab-uṣur[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342143,"AoF 05, 04",Ina-qibit-Anu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342143,"AoF 05, 04",X-Anu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342149,"AoF 05, 10",X-su[00]PN māru[son]N ša[of]DET Ša-Anu-iššu[00]PN
Two Tier,PN N DET PN,P342149,"AoF 05, 10",Anu-qišanni[00]PN māru[son]N ša[of]DET Laqip[00]PN
Two Tier,PN N DET PN,P342149,"AoF 05, 10",Sumuttu-Anu[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN
Two Tier,PN N DET PN,P342149,"AoF 05, 10",Tattannu[00]PN māru[son]N ša[of]DET Uṣuršu-Anu[00]PN
Two Tier,PN N DET PN,P342151,"AoF 05, 12",Nanaya-iddin[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN
Two Tier,PN N DET PN,P342152,"AoF 05, 13",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342152,"AoF 05, 13",Anu-mar-ittannu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342152,"AoF 05, 13",Nidintu-Ištar[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342152,"AoF 05, 13",Arad-Ninurta[00]PN māru[son]N ša[of]DET Anu-mar-ittannu[00]PN
Two Tier,PN N DET PN,P342152,"AoF 05, 13",Arad-Ninurta[00]PN māru[son]N ša[of]DET Nidintu-X[00]PN
Two Tier,PN N DET PN,P342152,"AoF 05, 13",Anu-uballiṭ[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN
Two Tier,PN N DET PN,P342154,"AoF 05, 15",X[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342156,"AoF 05, 17",Anu-X[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342156,"AoF 05, 17",Illut-Anu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342156,"AoF 05, 17",X[00]PN māru[son]N ša[of]DET Ana-rabut-Anu[00]PN
Two Tier,PN N DET PN,P342156,"AoF 05, 17",Ubar[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342156,"AoF 05, 17",X[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342157,"AoF 05, 18",X[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342157,"AoF 05, 18",Anu-X-ittannu[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN
Two Tier,PN N DET PN,P342157,"AoF 05, 18",X[00]PN māru[son]N ša[of]DET Tattannu[00]PN
Two Tier,PN N DET PN,P342157,"AoF 05, 18",Nanaya-iddin[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",X[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",Nanaya-iddin[00]PN māru[son]N ša[of]DET X-Anu[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",Nanaya-iddin[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",X[00]PN māru[son]N ša[of]DET Anu-ahhe-ittannu[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",X[00]PN māru[son]N ša[of]DET Balaṭu[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",X[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",X[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",Illut-Anu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",Rihat-Anu[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",X[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",Rihat-Anu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",X[00]PN māru[son]N ša[of]DET Nidintu-X[00]PN
Two Tier,PN N DET PN,P342158,"AoF 05, 19",X[00]PN māru[son]N ša[of]DET Anu-mar-iddin[00]PN
Two Tier,PN N DET PN,P342164,"Babyloniaca 08, 27-35",Kittu-Anu[00]PN māru[son]N ša[of]DET Illut-Anu[00]PN
Two Tier,PN N DET PN,P342164,"Babyloniaca 08, 27-35",Adešu-ṭabat[00]PN mārtu[daughter]N ša[of]DET Anu-balassu-iqbi[00]PN
Two Tier,PN N DET PN,P342164,"Babyloniaca 08, 27-35",Dumqi-Anu[00]PN māru[son]N ša[of]DET Anu-ah-utir[00]PN
Two Tier,PN N DET PN,P342164,"Babyloniaca 08, 27-35",Tattannu-Nanaya[00]PN wardu[slave]N ša[of]DET Kephalon[00]PN
Two Tier,PN N DET PN,P342164,"Babyloniaca 08, 27-35",Nidintu-šarri[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN
Two Tier,PN N DET PN,P342164,"Babyloniaca 08, 27-35",Anu-belšunu[00]PN māru[son]N ša[of]DET Anu-balassu-iqbi[00]PN
Two Tier,PN N DET PN,P342164,"Babyloniaca 08, 27-35",Kittu-Anu[00]PN māru[son]N ša[of]DET Anu-zer-iddin[00]PN
Two Tier,PN N DET PN,P342164,"Babyloniaca 08, 27-35",Kittu-Anu[00]PN māru[son]N ša[of]DET Illut-Anu[00]PN
Two Tier,PN N DET PN,P342164,"Babyloniaca 08, 27-35",Kittu-Anu[00]PN māru[son]N ša[of]DET Anu-zer-iddin[00]PN
